Epoch,Error
0,34.53864749946941
1,29.27556570736864
2,25.647303736246158
3,22.77207595163805
4,20.472024830335194
5,18.640136223646063
6,17.176075835604262
7,15.985652042471518
8,14.998590914718699
9,14.169497095544989
10,13.467583688772136
11,12.86861071890697
12,12.352279208302692
13,11.902467860104268
14,11.50737220788868
15,11.158830207017328
16,10.851223780650981
17,10.58023487183729
18,10.341696097956202
19,10.13111307995172
20,9.94399287423121
21,9.77633213162981
22,9.624810019539112
23,9.486741717336074
24,9.35996031733655
25,9.242707400963056
26,9.133547955438383
27,9.031305357810613
28,8.935010523477894
29,8.843861321070785
30,8.757189916301572
31,8.674436486457264
32,8.595128110971919
33,8.51886186364876
34,8.445291316459857
35,8.374115832493231
36,8.305072168882702
37,8.237928023202228
38,8.172477239384872
39,8.108536445153996
40,8.04594292407619
41,7.984553530776665
42,7.924244436479405
43,7.864911447342517
44,7.806470583139613
45,7.74885856325834
46,7.6920328517426775
47,7.635970986630013
48,7.580669058562936
49,7.526139371279368
50,7.472407451567483
51,7.419508632301245
52,7.367484411877616
53,7.316378748528968
54,7.2662344382209865
55,7.217089767765891
56,7.16897569140586
57,7.121913786787639
58,7.075915168758738
59,7.03098039313808
60,6.987100222660198
61,6.944257011072402
62,6.902426418727817
63,6.861579199362527
64,6.821682866451476
65,6.782703127922414
66,6.744605047699513
67,6.707353941173319
68,6.670916038537052
69,6.635258959567865
70,6.600352041998714
71,6.566166558593216
72,6.532675849323148
73,6.499855386962966
74,6.467682787961408
75,6.436137775756818
76,6.405202100449578
77,6.374859416511204
78,6.345095118725702
79,6.315896135819562
80,6.2872506814691365
81,6.259147963877703
82,6.231577858028113
83,6.20453054880096
84,6.177996157681775
85,6.151964369636908
86,6.126424078665218
87,6.101363069565678
88,6.076767749325866
89,6.0526229348904
90,6.028911696454899
91,6.005615248953016
92,5.98271288123171
93,5.960181914306078
94,5.937997688099054
95,5.916133590450937
96,5.8945611624207706
97,5.873250338711741
98,5.8521699090111285
99,5.831288310575758
100,5.8105748760180695
101,5.790001648296925
102,5.769545815424853
103,5.7491926845441785
104,5.728938892505333
105,5.708795258251104
106,5.688788411777985
107,5.668960256453251
108,5.649364627458715
109,5.6300612613459595
110,5.611108169119041
111,5.592554225023202
112,5.574433791691919
113,5.556764442912364
114,5.539547739966093
115,5.522772148089305
116,5.506416875567977
117,5.490455619650532
118,5.474859633434276
119,5.459599930689985
120,5.444648702017318
121,5.4299801242199655
122,5.415570755411596
123,5.401399673020385
124,5.387448464956037
125,5.373701142528734
126,5.360144012692229
127,5.346765526737546
128,5.333556110692146
129,5.320507977158505
130,5.307614917249816
131,5.29487207308924
132,5.282275694699766
133,5.269822888833815
134,5.2575113703399925
135,5.245339228256273
136,5.233304718542994
137,5.221406093253774
138,5.209641472426118
139,5.1980087607640755
140,5.186505607062595
141,5.1751294009405315
142,5.163877299206096
143,5.152746273181517
144,5.14173316842575
145,5.130834769227564
146,5.120047861659981
147,5.109369290586297
148,5.098796007557565
149,5.088325107899314
150,5.077953856385447
151,5.067679701730052
152,5.057500280717264
153,5.047413413173595
154,5.037417089209124
155,5.027509450249939
156,5.017688765385731
157,5.0079534044868765
158,4.99830180942301
159,4.988732464554821
160,4.979243867484402
161,4.969834500848421
162,4.960502805732157
163,4.951247157080715
164,4.942065841294276
165,4.932957036023883
166,4.923918792037802
167,4.914949016909529
168,4.9060454601876895
169,4.89720569964646
170,4.888427128181214
171,4.8797069409070115
172,4.8710421220370295
173,4.862429431164113
174,4.853865388644732
175,4.845346259896029
176,4.8368680385732885
177,4.828426428811553
178,4.820016827012182
179,4.811634304060534
180,4.803273589409892
181,4.794929059201758
182,4.786594731560155
183,4.77826427344177
184,4.7699310249724185
185,4.7615880490391955
186,4.753228215940134
187,4.744844334875054
188,4.736429345518084
189,4.7279765830397755
190,4.7194801275390645
191,4.710935242319944
192,4.702338893098665
193,4.693690320870369
194,4.684991615282445
195,4.6762482066143995
196,4.667469170898775
197,4.658667236389673
198,4.649858403086979
199,4.641061146608081
200,4.632295265594312
201,4.623580523439109
202,4.614935296350677
203,4.606375443621621
204,4.597913558643191
205,4.589558663506395
206,4.5813163128522625
207,4.57318900521745
208,4.56517677496733
209,4.557277848676055
210,4.549489280387141
211,4.541807514687259
212,4.534228854868927
213,4.526749832005034
214,4.519367480265981
215,4.5120795269836895
216,4.504884505745681
217,4.497781799531082
218,4.490771620094243
219,4.4838549301900565
220,4.477033316895841
221,4.470308826798487
222,4.463683776447446
223,4.457160553388076
224,4.450741423581726
225,4.4444283597191125
226,4.43822290191213
227,4.432126057993388
228,4.426138245913331
229,4.420259276300381
230,4.414488369778544
231,4.408824201471076
232,4.403264964297704
233,4.397808442989074
234,4.3924520918496865
235,4.3871931108256925
236,4.382028516055226
237,4.37695520256863
238,4.371969998035146
239,4.367069707375859
240,4.362251148691755
241,4.35751118133491
242,4.352846727136587
243,4.348254785854518
244,4.343732445860712
245,4.33927689099872
246,4.334885404422175
247,4.330555370103254
248,4.326284272581291
249,4.322069695414688
250,4.317909318705781
251,4.31380091598923
252,4.309742350709107
253,4.305731572456381
254,4.301766613095757
255,4.297845582876867
256,4.293966666598059
257,4.290128119870424
258,4.286328265513732
259,4.282565490103752
260,4.278838240681465
261,4.275145021627902
262,4.271484391703411
263,4.2678549612469405
264,4.2642553895284285
265,4.260684382246232
266,4.2571406891606305
267,4.253623101854441
268,4.250130451611799
269,4.2466616074069385
270,4.2432154739954
271,4.239790990101046
272,4.236387126693506
273,4.233002885351664
274,4.229637296710121
275,4.226289418986842
276,4.222958336591475
277,4.219643158815035
278,4.216343018603082
279,4.213057071415553
280,4.209784494177645
281,4.206524484327335
282,4.20327625896595
283,4.200039054119227
284,4.196812124117083
285,4.193594741100803
286,4.190386194666974
287,4.187185791657628
288,4.183992856106042
289,4.180806729347497
290,4.177626770303518
291,4.174452355947286
292,4.171282881956515
293,4.1681177635581035
294,4.16495643656667
295,4.161798358615842
296,4.158643010577806
297,4.1554898981621164
